rank,credible,passed_at,address,postcode_district,postcode_sector,property_type,beds,target_beds,asking,offer,refurb,after_works_value,after_works_value_uncapped,current_value_cmv,implied_uplift_pct,money_in,money_out,left_in,left_in_pct,max_price_that_passes,discount_needed_pct,n_comps_used,comps_detail,gdv_confidence,flags,uplift_score,days_on_market,agent_name,agent_phone,listing_url
1,True,full_asking,"Munro Court, off Dunkeld Road, Ecclesall, S11 9BA",S11,S11 9,Apartment,1,2,120000,120000,33075,225985,225985,,,172775,169489,3286,1.9,133846,-11.5,5,3 OSBORNE MEWS sold 2026-05-27 for 190000 (adj 190000) ; 26 OSBORNE MEWS sold 2025-10-30 for 220000 (adj 225985) ; 34 OSBORNE MEWS sold 2025-09-26 for 230000 (adj 237015) ; 8 OSBORNE MEWS sold 2025-07-15 for 370000 (adj 383915) ; 22 OSBORNE MEWS sold 2025-03-14 for 195000 (adj 204691),low,low_confidence_valuation,3,,Retirement Homesearch,01425209967,https://www.rightmove.co.uk/properties/91687644
2,True,full_asking,"Bessborough Road, Prenton, Wirral, CH43 5RW",CH43,CH43 5,Terraced,2,3,135000,135000,32576,243456,243456,,,189126,182592,6534,3.5,147171,-9.0,3,25 BESSBOROUGH ROAD sold 2023-03-03 for 152000 (adj 171102) ; 16 PRICES LANE sold 2023-11-10 for 210000 (adj 230847) ; 12 DUDLEY CLOSE sold 2024-10-30 for 229000 (adj 243456),low,low_confidence_valuation|only_3_comps,4,,Karl Tatler Estate Agents,01514534675,https://www.rightmove.co.uk/properties/173997491
3,True,5pct_off,"Branston Street, Birmingham, B18, B18 6BP",B18,B18 6,Apartment,2,3,150000,142500,40179,256210,454697,197085,30.0,205204,192158,13047,6.4,149849,0.1,4,36C HALL STREET sold 2023-12-18 for 470000 (adj 514813) ; 36D HALL STREET sold 2023-12-18 for 375000 (adj 410755) ; APARTMENT 2 199 GREAT HAMPTON ROW sold 2023-03-31 for 405000 (adj 454697) ; APARTMENT 1 199 GREAT HAMPTON ROW sold 2022-01-13 for 368500 (adj 431304),low,low_confidence_valuation,4,,Yopa,01525659945,https://www.rightmove.co.uk/properties/175013438
4,True,full_asking,"Pelham Crescent, The Park, Nottingham, NG7 1AW",NG7,NG7 1,Apartment,1,2,150000,150000,33075,257620,286750,198169,30.0,206575,193215,13360,6.5,157175,-4.8,4,FLAT 3 20 BARRACK LANE sold 2026-05-18 for 286750 (adj 286750) ; FLAT 4 20 BARRACK LANE sold 2023-03-03 for 275000 (adj 309560) ; FLAT 1 20 BARRACK LANE sold 2023-02-27 for 255000 (adj 287155) ; FLAT 7 7 PELHAM CRESCENT sold 2023-06-30 for 190000 (adj 211494),medium,,3,,Walton and Allen,01156476295,https://www.rightmove.co.uk/properties/90297138
5,True,5pct_off,"Heckley Road, Exhall CV7 9EX",CV7,CV7 9,Semi-Detached,2,3,150000,142500,38325,251708,251708,,,203350,188781,14569,7.2,148170,1.2,5,6 TREVISCOE CLOSE sold 2026-02-13 for 247500 (adj 251708) ; 20 PARKVIEW CLOSE sold 2024-05-03 for 152000 (adj 164358) ; 23 PARKVIEW CLOSE sold 2023-07-28 for 197500 (adj 219264) ; 9 PARKVIEW CLOSE sold 2023-02-15 for 190000 (adj 214201) ; 15 PARKVIEW CLOSE sold 2022-12-16 for 190000 (adj 215435),low,low_confidence_valuation,1,,Suttons,02475420942,https://www.rightmove.co.uk/properties/88688304
6,True,full_asking,"Warbreck Drive, Bispham, FY2 9PL",FY2,FY2 9,House,4,5,129950,129950,52530,251690,251690,,,203374,188768,14606,7.2,135586,-4.3,3,106 WARBRECK DRIVE sold 2021-12-08 for 255000 (adj 299473) ; 124 WARBRECK DRIVE sold 2025-03-24 for 240000 (adj 251690) ; 20A WOLVERTON AVENUE sold 2024-02-29 for 245000 (adj 266521),low,low_confidence_valuation|only_3_comps,5,,McDonald,01253835493,https://www.rightmove.co.uk/properties/91205427
7,True,10pct_off,"Rilstone Road, Birmingham, West Midlands, B32, B32 2NN",B32,B32 2,Semi-Detached,3,4,150000,135000,46200,249683,249683,,,202750,187262,15488,7.6,139707,6.9,3,14 PURBECK CROFT sold 2025-10-28 for 241000 (adj 247603) ; 2 HUNSLET CLOSE sold 2024-11-27 for 240000 (adj 254479) ; 10 CAPERN GROVE sold 2025-06-17 for 240000 (adj 249683),low,low_confidence_valuation|only_3_comps,4,,Oakmans Estate Agents,01213876780,https://www.rightmove.co.uk/properties/91174959
8,True,10pct_off,"Broyd View, Lancaster, LA1 4WF",LA1,LA1 4,House,2,3,145000,130500,38325,233030,233030,,,189790,174772,15018,7.9,134395,7.3,4,14 BROYD VIEW sold 2022-08-31 for 160000 (adj 183256) ; 3 KENSINGTON ROAD sold 2025-10-03 for 248150 (adj 255550) ; 12 HASTINGS ROAD sold 2025-09-08 for 225750 (adj 233030) ; 8 DEVONSHIRE STREET sold 2025-08-29 for 185000 (adj 191146),low,low_confidence_valuation,3,,Farrell Heyworth,01524938556,https://www.rightmove.co.uk/properties/171371579
9,True,5pct_off,"Sandwich Road, Eccles, M30, M30 9GX",M30,M30 9,Flat,1,2,130000,123500,35951,220392,220392,,,179536,165294,14242,7.9,127176,2.2,5,"FLAT 6 ELLESMERE HOUSE, 1 SANDWICH ROAD sold 2025-11-21 for 215000 (adj 220392) ; FLAT 8 ELLESMERE HOUSE, 1 SANDWICH ROAD sold 2024-12-13 for 240000 (adj 254096) ; FLAT 9 DENEFIELD PLACE SANDWICH ROAD sold 2024-10-15 for 205000 (adj 218249) ; FLAT 6 DENEFIELD PLACE SANDWICH ROAD sold 2024-07-05 for 205000 (adj 220356) ; FLAT 2 ELLESMERE HOUSE, 1 SANDWICH ROAD sold 2024-05-31 for 220000 (adj 237260)",medium,,5,,Hills,01617074900,https://www.rightmove.co.uk/properties/90577695
10,True,full_asking,"Welstead Avenue, Nottingham, NG8, NG8 5NU",NG8,NG8 5,Semi-Detached,2,3,115000,115000,38325,208917,208917,,,172475,156688,15787,9.2,116462,-1.3,3,104 BROXTOWE LANE sold 2022-02-25 for 100000 (adj 116570) ; 88 WELSTEAD AVENUE sold 2023-09-22 for 174000 (adj 192158) ; 6 NORBRECK CLOSE sold 2024-08-09 for 195000 (adj 208917),low,low_confidence_valuation|only_3_comps,4,,TAUK,01156471506,https://www.rightmove.co.uk/properties/91008627
